sample,Cytotoxicity,tissue,InfiltrationScore,Antigen Proc & Pres,Antimicrobials,BCR Signaling Pathway,Chemokines,Chemokine Rcps,Cytokines,Cytokine Rcps,Interferons,Interferon Rcps,Interleukins,Interleukin Rcps,NK Cell Cytotoxicity,TCR Signaling Pathway,TNF Fam Mems,TNF Fam Mem Rcps,Antigen Pres,Cytotoxic T & NK Cells,B Cells,Anti Tumor Microenvironment,Checkpoint Inhibition
TCGA-OR-A5K3-01,0.096061288,ACC,0.689,0.320856382,0.186842018,-0.022920432,0.123817844,0.18867825,0.107260309,0.227949906,-0.223992746,0.414819289,0.040909177,0.234121144,0.254596207,-0.174098403,0.211657325,0.180580998,0.576586834,0.26900002,-0.011245063,0.177843569,0.32553813
TCGA-OR-A5J2-01,0.117210555,ACC,0.711,0.321543275,0.20973081,0.18438573,0.187304992,0.238108827,0.155710234,0.257359801,-0.257934003,0.461647497,0.030877966,0.256115977,0.264951128,-0.067353294,0.275478903,0.287966313,0.539213881,0.320817025,0.267352487,0.203562777,0.363493811
TCGA-OR-A5LN-01,0.32180924,ACC,0.735,0.349586987,0.196287876,0.044591391,0.145443468,0.244575689,0.117342412,0.244475304,-0.154493844,0.443128285,0.020761808,0.236965848,0.295255768,-0.054769051,0.288073171,0.285428496,0.584295216,0.468072796,0.134058724,0.254356482,0.418686958
TCGA-OR-A5KY-01,0.093034106,ACC,0.674,0.317702894,0.189218514,0.020122024,0.169614767,0.223457976,0.155056951,0.244646323,-0.20235077,0.455545241,0.056111566,0.214750132,0.259016392,-0.129033291,0.215881592,0.220633751,0.53046234,0.278173297,0.016695332,0.174243669,0.337546674
TCGA-OR-A5LG-01,0.115534886,ACC,0.712,0.318861919,0.206531254,0.031166289,0.186484193,0.208190225,0.131681487,0.243544628,-0.215969038,0.433025144,0.033721831,0.249851018,0.251181441,-0.127981869,0.201414381,0.234341007,0.529946545,0.317088466,0.031311121,0.152375648,0.324600513
TCGA-OR-A5JC-01,0.128147649,ACC,0.72,0.321613535,0.201607138,0.024192347,0.18893314,0.20087163,0.14359362,0.241009574,-0.172959107,0.426645032,0.057908282,0.221281493,0.258241012,-0.147151417,0.212604016,0.269897328,0.541673871,0.293148465,0.120432084,0.164658799,0.308140148
TCGA-OR-A5JV-01,0.217385213,ACC,0.762,0.334701349,0.210726373,-0.046780178,0.179004134,0.270903271,0.132878737,0.256919424,-0.250302821,0.447720176,0.037736776,0.263066922,0.291459522,-0.034592883,0.30100771,0.251662387,0.613977739,0.383647097,0.147040989,0.250559571,0.441278227
TCGA-OU-A5PI-01,0.086185693,ACC,0.692,0.316279266,0.17560646,0.002566608,0.163575245,0.172581958,0.127594521,0.241356377,-0.241671655,0.453497636,0.022123814,0.238541464,0.252803844,-0.148126527,0.230876961,0.219562819,0.522275694,0.238208861,0.000691111,0.166862476,0.304969799
TCGA-OR-A5KO-01,0.071955471,ACC,0.638,0.287712011,0.163551224,-0.045753788,0.119021859,0.177647836,0.113894458,0.230676357,-0.223960812,0.414564457,0.006855134,0.214691039,0.230198225,-0.195029852,0.183733375,0.259205609,0.43406209,0.111313533,0.039689596,0.120976122,0.11562958
TCGA-OR-A5JP-01,0.076179232,ACC,0.645,0.305450082,0.200699536,0.017342827,0.211172532,0.205354028,0.165163888,0.251409208,-0.245503881,0.428524668,0.042469251,0.251290743,0.251976972,-0.176516124,0.276032983,0.246772632,0.510288874,0.235571859,0.05169195,0.122741581,0.23100834
TCGA-OR-A5L9-01,0.211495097,ACC,0.64,0.297276116,0.186347715,0.042645861,0.187747249,0.236559587,0.11660313,0.2316179,-0.231353102,0.420848833,-0.010262086,0.235361231,0.245358281,-0.165517327,0.205303666,0.291926481,0.559151861,0.372408027,0.152642377,0.054036523,0.381753264
TCGA-OR-A5JO-01,0.507999937,ACC,0.8,0.364248463,0.233975979,0.105117648,0.247577659,0.266874221,0.170712981,0.269837068,-0.165619725,0.474653934,0.081623195,0.312368678,0.3114141,-0.007822087,0.294693093,0.333034151,0.609155252,0.521355884,0.339063407,0.315499713,0.446837828
TCGA-OR-A5JX-01,0.122993069,ACC,0.73,0.32204548,0.185486526,-0.041876213,0.132778889,0.211185897,0.127054755,0.234438948,-0.242092834,0.450948616,0.018052465,0.229750793,0.261541876,-0.172689368,0.204910236,0.284155672,0.526577409,0.279439671,0.084781117,0.11401811,0.349440326
TCGA-PA-A5YG-01,0.300379208,ACC,0.766,0.343491982,0.22129847,0.116603861,0.228054493,0.267818291,0.158652058,0.27167924,-0.223932289,0.452498193,0.039088112,0.284028544,0.294450097,-0.00025501,0.312397253,0.277163072,0.574285314,0.449701091,0.234605696,0.245515136,0.40596566
TCGA-OR-A5LD-01,0.090302318,ACC,0.609,0.275204831,0.140099956,-0.061793218,0.098983124,0.173143266,0.091604157,0.209637588,-0.24416899,0.446138338,0.004922642,0.16863568,0.218556325,-0.203907823,0.085254825,0.274457291,0.437467913,0.172876455,-0.025099892,-0.004923792,0.291367212
TCGA-OR-A5LL-01,0.081626827,ACC,0.687,0.321386022,0.185311964,-0.026082244,0.173344581,0.202808766,0.111761854,0.235836438,-0.181974003,0.450553728,0.014030055,0.234262928,0.233952969,-0.185265364,0.248026491,0.209933085,0.512581275,0.175249813,0.002981109,0.048649246,0.236759527
TCGA-OR-A5K8-01,0.102554853,ACC,0.621,0.309260272,0.181109538,0.007166311,0.151828829,0.190186183,0.105125729,0.222082873,-0.192923432,0.437093704,0.01580966,0.231944807,0.259290427,-0.167775176,0.193488224,0.203677895,0.484580313,0.28046583,-0.070930162,0.062634296,0.288850265
TCGA-OR-A5KW-01,0.082234799,ACC,0.642,0.305960137,0.197382791,-0.012061682,0.163598073,0.212974984,0.142346116,0.239190965,-0.246095906,0.449576598,0.030327264,0.223096046,0.247929046,-0.169819265,0.239392098,0.224019222,0.484945618,0.209451101,-0.007156907,0.103065997,0.254468873
TCGA-OR-A5J9-01,0.096990608,ACC,0.738,0.31159778,0.165138887,-0.034063454,0.114705768,0.211652735,0.122754507,0.242914261,-0.197559232,0.434430587,0.019234966,0.230146839,0.254179734,-0.149542971,0.269656011,0.239420184,0.505330094,0.261224314,-0.070612964,0.135612461,0.284184571
TCGA-OR-A5L8-01,0.078782437,ACC,0.672,0.297811754,0.164048799,-0.030307934,0.13625793,0.18222555,0.116622445,0.233100973,-0.247031775,0.427821527,-0.015774852,0.220621912,0.244044463,-0.163886911,0.216289249,0.19426339,0.426424485,0.211403723,-0.057350356,0.014182862,0.165118396
TCGA-OR-A5J6-01,0.129945025,ACC,0.723,0.341546278,0.204705776,0.102870294,0.192370517,0.213196946,0.133169047,0.250843403,-0.237135648,0.457572834,0.006759371,0.271325397,0.273306548,-0.13770536,0.227055567,0.284999958,0.568079621,0.333510561,0.149423915,0.187529409,0.364136075
TCGA-OR-A5JJ-01,0.143422333,ACC,0.705,0.310557448,0.194756396,0.209095813,0.185093338,0.208532022,0.164761989,0.239077377,-0.224597966,0.443342003,0.044639395,0.244699556,0.250998397,-0.089285384,0.249790065,0.28951281,0.540632145,0.338440638,0.28497089,0.131124313,0.33122783
TCGA-OR-A5LJ-01,0.15105797,ACC,0.698,0.329268155,0.195945877,0.016290394,0.154097211,0.226297135,0.141781847,0.243910659,-0.196946273,0.439008778,0.036463919,0.255090236,0.268212592,-0.066119996,0.209204566,0.276574644,0.573984749,0.374626511,0.105049258,0.171653017,0.380424691
TCGA-OR-A5JM-01,0.03559283,ACC,0.631,0.300498265,0.169464058,-0.035847615,0.150527915,0.164791536,0.131857413,0.225149804,-0.216678285,0.477292229,0.038318333,0.234769659,0.227574855,-0.208863649,0.134601958,0.22228534,0.464845975,0.06562095,-0.031515623,0.081334072,0.055463364
TCGA-PK-A5HB-01,0.070465867,ACC,0.657,0.317751258,0.18198576,-0.061623436,0.141688619,0.207603955,0.1286093,0.237505455,-0.216889113,0.454990287,0.040139449,0.235887975,0.25022038,-0.183171262,0.184809763,0.24239038,0.488571784,0.148380695,0.138484709,0.094590682,0.327963034
TCGA-OR-A5JF-01,0.076683762,ACC,0.649,0.302317105,0.186083205,-0.064077247,0.159816677,0.193810118,0.13916849,0.241121561,-0.231089345,0.445057598,0.016311447,0.249296763,0.240708051,-0.173773565,0.266854576,0.198163722,0.476333355,0.218937932,0.043683604,0.138761547,0.264284953
TCGA-OR-A5K9-01,0.054804476,ACC,0.594,0.291323551,0.175417403,-0.065924408,0.120730241,0.19015239,0.113660579,0.231762592,-0.237943002,0.452458623,0.013626325,0.238054355,0.219890083,-0.196786072,0.202953794,0.225889738,0.463180447,0.052895203,-0.162991592,0.030985807,0.07657195
TCGA-OR-A5LM-01,0.072647536,ACC,0.68,0.325133594,0.203437736,-0.02808417,0.177336722,0.194041687,0.134595635,0.235228099,-0.265240738,0.439702481,0.071586026,0.245311382,0.248476102,-0.16390971,0.246775873,0.22939692,0.552639664,0.204949876,0.069532046,0.117897373,0.307379426
TCGA-OR-A5KZ-01,0.117670542,ACC,0.744,0.331354935,0.188482033,0.002039795,0.198137679,0.227438503,0.154510415,0.251389237,-0.214761045,0.442103558,0.024038826,0.239736539,0.271146486,-0.126163971,0.195697443,0.29116885,0.53854261,0.339069388,0.050120868,0.187588782,0.333475475
TCGA-PK-A5H8-01,0.065495399,ACC,0.664,0.29982383,0.193589835,-0.062101061,0.141594926,0.198080732,0.110554964,0.227983427,-0.239450445,0.399922517,0.045625164,0.24802627,0.230949943,-0.176510279,0.216644981,0.193136112,0.531554463,0.116373155,0.080751455,0.135611591,0.188218377
TCGA-OR-A5J7-01,0.062752559,ACC,0.669,0.306311997,0.180759517,-0.057318906,0.150898028,0.191392972,0.122160481,0.220009983,-0.248943404,0.418158899,0.023383813,0.229042079,0.240412794,-0.18869155,0.265463428,0.163471016,0.486244635,0.12954464,0.029557568,0.117285978,0.271185572
TCGA-P6-A5OG-01,0.472088968,ACC,0.801,0.343930103,0.244540513,0.198248353,0.286785274,0.274911166,0.190083112,0.260930533,-0.170347759,0.46393218,0.075109432,0.305759029,0.309549015,-0.040207151,0.280704632,0.351615607,0.579410686,0.497977102,0.270521591,0.300027988,0.494065352
TCGA-OR-A5K1-01,0.157715634,ACC,0.703,0.327293408,0.200633849,0.042374079,0.181729283,0.221516286,0.118080087,0.236485847,-0.230465709,0.421739595,0.010764883,0.241050207,0.270911583,-0.112285449,0.237559628,0.251334984,0.565425711,0.371942403,-0.011711169,0.232102588,0.340502184
TCGA-OR-A5LT-01,0.083481524,ACC,0.66,0.294144134,0.1772026,-0.05696821,0.13296739,0.197153447,0.110167668,0.227848906,-0.184131297,0.463743077,0.012889144,0.236966796,0.232527684,-0.162849438,0.239720206,0.206692831,0.513362151,0.240478531,-0.058118604,0.135836788,0.290158568
TCGA-OR-A5L6-01,0.207299427,ACC,0.727,0.316676171,0.188737747,-0.056888276,0.144049823,0.201472333,0.107232512,0.226439827,-0.219801594,0.450694048,-0.00355932,0.23831737,0.266447627,-0.17456341,0.211120939,0.258499015,0.534213333,0.311783046,-0.093109187,0.176733748,0.264894352
TCGA-OR-A5JW-01,0.075185216,ACC,0.695,0.312677925,0.168646014,-0.050003666,0.128530654,0.221749675,0.115236751,0.254673249,-0.193453739,0.444763967,0.020008461,0.255072478,0.253688785,-0.183106029,0.204964383,0.177312306,0.500538708,0.1907263,-0.068054989,0.114725454,0.246199756
TCGA-OR-A5LE-01,0.05192854,ACC,0.598,0.291462859,0.158183976,-0.062500501,0.121780727,0.162541794,0.12563659,0.210490818,-0.178145861,0.37092674,0.01446742,0.23864122,0.219425089,-0.196777709,0.151515694,0.197726329,0.422072746,0.110673776,-0.068575966,0.059985846,0.096142721
TCGA-OR-A5JA-01,0.070519448,ACC,0.71,0.31538393,0.19234626,-0.029482412,0.168793885,0.205060523,0.15249419,0.235831786,-0.192789596,0.410517411,0.051007686,0.244909928,0.255092944,-0.168388732,0.177373001,0.254691466,0.515114138,0.174433358,0.147326689,0.115496232,0.289455789
TCGA-OR-A5J5-01,0.093348446,ACC,0.716,0.31065365,0.179274995,-0.063370244,0.101462832,0.185873092,0.141685508,0.23006018,-0.155236,0.436423171,0.024381753,0.238316625,0.245118659,-0.176596085,0.221041371,0.266149818,0.499049921,0.148279457,0.095340239,0.121997027,0.264958369
TCGA-OR-A5JZ-01,0.161471423,ACC,0.71,0.317695029,0.192383047,0.0004582,0.156846346,0.193556287,0.109473733,0.235090862,-0.260657724,0.42898612,0.057901841,0.253814216,0.275200779,-0.132745324,0.215611594,0.291955388,0.553463854,0.31964099,0.134947869,0.187989823,0.339902248
TCGA-OR-A5JI-01,0.213957926,ACC,0.687,0.340422111,0.21256726,0.101283127,0.205968351,0.24532649,0.142375509,0.260939816,-0.20879006,0.46034532,0.023160414,0.249329579,0.274629524,-0.05010613,0.298673754,0.308315512,0.584904199,0.407242268,0.260579072,0.193261468,0.367981861
TCGA-OR-A5LA-01,0.229620208,ACC,0.713,0.335298071,0.203953205,0.133395456,0.205750896,0.237363745,0.146685885,0.261334056,-0.152573558,0.454617054,0.034454678,0.261764162,0.285242295,-0.103392334,0.29459726,0.333859696,0.573112998,0.42733284,0.276381369,0.218022019,0.409446447
TCGA-PK-A5HA-01,0.214424006,ACC,0.726,0.345931181,0.200823108,0.057470196,0.14597779,0.26706761,0.111335269,0.248954113,-0.216516295,0.435747611,0.011232399,0.242951605,0.294891216,-0.060365958,0.293120065,0.272708258,0.598591024,0.400233443,0.007395779,0.203444824,0.411037378
TCGA-OR-A5JQ-01,0.330948381,ACC,0.795,0.336531309,0.222290894,0.134564568,0.225576439,0.266651908,0.158996114,0.265498791,-0.200294469,0.441741686,0.049435625,0.253544728,0.287193005,0.011379117,0.2913399,0.315089169,0.582422184,0.457568155,0.321296178,0.268942829,0.412493858
TCGA-OR-A5JE-01,0.084039089,ACC,0.628,0.321695358,0.184045236,-0.046351233,0.143354129,0.20995127,0.139383008,0.232595876,-0.207657565,0.436369351,0.029915063,0.232390979,0.254909253,-0.174014012,0.246323405,0.24028352,0.51861286,0.204231688,0.016110932,0.156814841,0.217196985
TCGA-OR-A5KU-01,0.098358291,ACC,0.674,0.304554183,0.177160987,-0.027978356,0.117380057,0.194601114,0.113364992,0.23264292,-0.263025078,0.471187167,-0.005550408,0.259453051,0.242837151,-0.184032486,0.169681164,0.277608405,0.477593414,0.200129728,0.045341903,0.113395387,0.256168786
TCGA-OR-A5LB-01,0.062728362,ACC,0.639,0.298818125,0.159868263,-0.063689677,0.116219016,0.171818941,0.101769744,0.221328661,-0.242159996,0.444057865,0.007828798,0.221288906,0.227004955,-0.193633485,0.224293735,0.219419749,0.473016977,0.104176366,-0.173009514,0.026079435,0.274912194
TCGA-OR-A5K5-01,0.120582223,ACC,0.642,0.311584897,0.187422746,-0.014532829,0.133273129,0.188517382,0.135355137,0.226014696,-0.264407567,0.442335971,0.028393224,0.234073777,0.247689405,-0.191521937,0.139008903,0.23087938,0.525788727,0.194799264,-0.042799456,0.0652716,0.276344245
TCGA-OR-A5J8-01,0.373741667,ACC,0.817,0.345148619,0.247305292,0.174250532,0.279348554,0.289367056,0.191881145,0.273372131,-0.184324898,0.481682973,0.13301474,0.289396655,0.293342987,0.0156767,0.301067416,0.369437307,0.632506689,0.494653769,0.226636112,0.361794267,0.497876997
TCGA-OR-A5L5-01,0.244773257,ACC,0.76,0.343855774,0.227055496,0.135835193,0.247219266,0.215485396,0.166252028,0.271400693,-0.201453629,0.443246084,0.037247413,0.250228801,0.290039274,-0.062015795,0.293219314,0.304309342,0.571420658,0.418843097,0.351140609,0.225194706,0.371698577
TCGA-OR-A5J3-01,0.084575773,ACC,0.657,0.307402817,0.206275872,-0.029320226,0.185930912,0.20650199,0.15230375,0.243507991,-0.217779502,0.454008607,0.029253728,0.236784288,0.244810611,-0.16457188,0.164419034,0.23880093,0.490010484,0.188466973,0.033919273,0.127429413,0.228982821
TCGA-OR-A5LS-01,0.062865895,ACC,0.669,0.305681187,0.16754073,0.059224634,0.116960982,0.195191962,0.106894326,0.238249056,-0.203739303,0.431204635,0.016426728,0.239289995,0.256816809,-0.183448828,0.213403248,0.244958363,0.497371191,0.142696717,0.125239948,0.099604835,0.191918035
TCGA-OR-A5LH-01,0.152279077,ACC,0.666,0.342986329,0.222177657,-0.005065566,0.22867595,0.226459504,0.162049473,0.259519127,-0.174957711,0.42737176,0.050599867,0.244221285,0.276126324,-0.127705424,0.280200539,0.258722793,0.570822345,0.363870458,0.203490039,0.228375912,0.344107652
TCGA-OR-A5JL-01,0.1130603,ACC,0.734,0.333927516,0.206812693,0.155871915,0.191646734,0.234210496,0.136510374,0.265262925,-0.203232622,0.451357805,0.017669536,0.2588918,0.266076449,-0.131190743,0.262027322,0.296715088,0.517709983,0.299388347,0.27202319,0.168248581,0.316233206
TCGA-OR-A5JG-01,0.077211629,ACC,0.65,0.306645146,0.192834951,-0.002228057,0.193314119,0.197269461,0.136335152,0.224813666,-0.22009822,0.445514776,0.020780344,0.224948359,0.237628808,-0.173667604,0.225994482,0.178626426,0.489696445,0.197185551,0.011997457,0.088283857,0.287724315
TCGA-OR-A5LO-01,0.075733599,ACC,0.72,0.284784087,0.160621095,-0.062343495,0.106153618,0.178335347,0.115639895,0.227468958,-0.20609434,0.426784914,-0.018464519,0.214309382,0.232571268,-0.180014697,0.144900123,0.157381249,0.459362146,0.159954255,-0.040499893,0.124113022,0.192063121
TCGA-OR-A5L3-01,0.07973454,ACC,0.625,0.291392603,0.171194277,-0.042581936,0.159993649,0.175878905,0.115391183,0.222796998,-0.244813692,0.459014293,0.002968337,0.252269104,0.234548852,-0.194986361,0.191890298,0.19085799,0.453359863,0.17047276,-0.044430995,0.11593983,0.153021156
TCGA-OR-A5LC-01,0.082528513,ACC,0.669,0.289053288,0.182215932,0.026376203,0.1543689,0.195069757,0.129485381,0.22005122,-0.259563685,0.412575736,0.023628727,0.221626451,0.233012033,-0.184821449,0.249996611,0.249837467,0.493650938,0.241825358,-0.021108946,0.149312869,0.117043093
TCGA-P6-A5OF-01,0.08957639,ACC,0.678,0.311780714,0.201555242,-0.042774348,0.182495507,0.226465643,0.153838499,0.24359406,-0.192058567,0.449910785,0.029019246,0.243573136,0.25711564,-0.161337283,0.248211614,0.237889595,0.49676837,0.206950549,0.006641867,0.134664096,0.299754537
TCGA-OR-A5KX-01,0.091417422,ACC,0.699,0.311622945,0.176762899,-0.05541547,0.136471189,0.184426729,0.115959933,0.219819511,-0.2432764,0.455075243,0.01518121,0.207606249,0.24140596,-0.183537345,0.256358973,0.253801666,0.534573983,0.25693654,0.000298679,0.081445892,0.16222403
TCGA-OR-A5K4-01,0.093345898,ACC,0.695,0.299330227,0.178851154,-0.046713191,0.13091175,0.200913204,0.103424425,0.225373854,-0.210729729,0.399845377,0.013803722,0.216336779,0.244192299,-0.171565504,0.051359818,0.198876927,0.478124612,0.230447476,0.025131027,0.089316266,0.288430563
TCGA-OR-A5J1-01,0.107455837,ACC,0.684,0.318679304,0.180180826,-0.020801718,0.130307129,0.210881359,0.125602623,0.216598719,-0.245982102,0.434629138,0.016262858,0.209331846,0.25472444,-0.153477448,0.221485253,0.207427709,0.529704872,0.286743348,-0.039857884,0.161422034,0.287081206
TCGA-OR-A5JT-01,0.094562133,ACC,0.741,0.318645882,0.199870719,-0.017081929,0.164272515,0.216737802,0.11725609,0.245403739,-0.270335145,0.421051551,0.021857069,0.246932742,0.263287006,-0.143875146,0.259020862,0.211002364,0.539265933,0.29642646,0.043424744,0.142971823,0.323360817
TCGA-OR-A5JB-01,0.419441468,ACC,0.79,0.368338115,0.247044958,0.099262098,0.240294166,0.251736577,0.167192757,0.241848985,-0.136178172,0.48742121,0.136922891,0.313684337,0.314891046,-0.017707959,0.319751257,0.36122749,0.643625546,0.534019665,0.246724962,0.35510036,0.531809135
TCGA-OR-A5JY-01,0.099149865,ACC,0.685,0.338524008,0.206009873,-0.044423147,0.206026724,0.230988407,0.166103417,0.254115847,-0.104926491,0.427364847,0.06115614,0.272559786,0.273529806,-0.119680697,0.265930398,0.310879708,0.57091006,0.26079421,0.209044384,0.189329705,0.364115279
TCGA-OR-A5JR-01,0.163809434,ACC,0.731,0.339487391,0.200827174,-0.033983382,0.168191325,0.234189328,0.117176697,0.247343591,-0.244109727,0.424156949,0.023109856,0.245561299,0.290994377,-0.059523709,0.228994414,0.245910616,0.572338333,0.385726711,0.164970307,0.227188112,0.362898153
TCGA-OR-A5KV-01,0.068091284,ACC,0.605,0.293529732,0.1658393,-0.051487006,0.144189487,0.186649121,0.140361514,0.24079435,-0.241112746,0.401299188,-0.012146824,0.206561993,0.239491847,-0.1717071,0.248517535,0.254602104,0.474881797,0.212068596,-0.022300916,0.070997456,0.191506215
TCGA-OR-A5K6-01,0.124032786,ACC,0.661,0.309711781,0.18965218,0.002868846,0.173618073,0.219328051,0.143851328,0.236041152,-0.26630145,0.465359656,0.045159047,0.258830395,0.247301296,-0.167980034,0.284137144,0.284028958,0.549960865,0.276765161,0.043510282,0.180685748,0.205085748
TCGA-OR-A5JS-01,0.08806119,ACC,0.655,0.303420669,0.176603833,0.006685461,0.154288201,0.18126919,0.119269821,0.230965323,-0.226392827,0.452638491,-0.006207078,0.236612308,0.235552143,-0.136801596,0.15972457,0.25426741,0.495590298,0.24347443,0.061427404,0.196217516,0.254561395
TCGA-OR-A5LP-01,0.161308966,ACC,0.759,0.338023048,0.222218441,0.087012798,0.221019475,0.260403228,0.154982991,0.266211268,-0.156637479,0.4421235,0.036536057,0.265819252,0.280431826,-0.030465796,0.288179565,0.248603528,0.586312611,0.37556236,0.08761461,0.208544845,0.383857005
TCGA-OR-A5LK-01,0.358573597,ACC,0.706,0.336201143,0.217795874,0.239295524,0.185088326,0.253308458,0.132851057,0.257942084,-0.235040821,0.462775907,0.041332996,0.24782295,0.277928182,-0.041871411,0.286421288,0.33927156,0.605064074,0.445457023,0.297788174,0.249856889,0.458057601
TCGA-OR-A5JK-01,0.371303818,ACC,0.752,0.34745763,0.214581273,0.194340555,0.215292693,0.250659021,0.161889063,0.255131199,-0.189768155,0.443024699,0.059881844,0.264966239,0.290900813,0.003363256,0.261580828,0.318514126,0.613704502,0.479652534,0.364460497,0.263755272,0.503649734
TCGA-OR-A5JD-01,0.26168688,ACC,0.748,0.33897949,0.212835931,0.007465071,0.197637819,0.230987897,0.141890494,0.251508811,-0.199738558,0.419563638,0.047769004,0.239153664,0.276290542,-0.039929506,0.275474743,0.273655633,0.579085193,0.395172969,0.187761556,0.264402791,0.378076478
TCGA-OR-A5L4-01,0.09983346,ACC,0.645,0.317854037,0.187510545,0.007824246,0.15897642,0.242756936,0.118313042,0.243688477,-0.256275821,0.422434715,0.025295948,0.242119656,0.261782557,-0.155496877,0.199917485,0.209245662,0.518204188,0.264065001,0.070978752,0.140397199,0.327672816
TCGA-OR-A5KT-01,0.177585049,ACC,0.729,0.339661789,0.228913568,0.156768849,0.255426097,0.223082636,0.162930146,0.259999153,-0.259902699,0.46653714,0.036030237,0.274035422,0.290170533,-0.073373939,0.276937416,0.330415131,0.567511581,0.392280658,0.408997033,0.23104514,0.376016946
TCGA-PK-A5H9-01,0.169729483,ACC,0.77,0.335212755,0.20646913,0.031226086,0.204716249,0.232795528,0.139594294,0.258962651,-0.203853764,0.432892896,0.016966184,0.273190055,0.274750607,-0.06760454,0.252867483,0.213978901,0.542911007,0.365691966,0.082996523,0.23752958,0.363729226
TCGA-OR-A5K0-01,0.079932592,ACC,0.677,0.324003667,0.19125904,-0.046029307,0.15603248,0.200582983,0.137066702,0.223385114,-0.264350107,0.467410518,0.053489142,0.245106274,0.246018857,-0.186821628,0.17823905,0.262547714,0.590978715,0.238219701,0.09056584,0.155022948,0.189192422
TCGA-MV-A51V-01,0.14679493,BLCA,0.7,0.314742,0.232407849,0.089772776,0.264468057,0.218521638,0.182824718,0.23769494,-0.169064948,0.479250123,0.127971683,0.244990198,0.255483564,-0.152990268,0.259019334,0.280923733,0.481506606,0.255955792,0.097252336,0.191210499,0.286867494
TCGA-FD-A3SR-01,0.399684373,BLCA,0.82,0.342438641,0.241042026,0.177707109,0.244193817,0.261163305,0.165897277,0.249118324,-0.24708329,0.460453731,0.11558266,0.27745131,0.281488763,0.044163833,0.302773108,0.318940159,0.600522194,0.440291391,0.311339923,0.315428162,0.423148243
TCGA-DK-A6B0-01,0.134049714,BLCA,0.679,0.334111299,0.213136795,-0.029282882,0.199722809,0.196578858,0.142737264,0.20739059,-0.176472569,0.483923436,0.063507991,0.236580481,0.265048469,-0.158061153,0.192918936,0.278131363,0.498308996,0.282522331,-0.123345054,0.204377552,0.268709966
TCGA-FD-A5BS-01,0.630268617,BLCA,0.821,0.370492749,0.290145397,0.322593992,0.343414391,0.292741746,0.214598192,0.270089482,-0.174851747,0.496675848,0.139992724,0.330676639,0.324756781,0.078416234,0.362403917,0.407424649,0.673047379,0.610545514,0.548647047,0.402500192,0.625348056
TCGA-DK-A1AD-01,0.233444982,BLCA,0.768,0.336651401,0.228275293,0.209798153,0.23569173,0.229703518,0.156849596,0.239964412,-0.206961161,0.478511855,0.108535094,0.272170784,0.267753973,-0.006655579,0.249645089,0.284639657,0.547809718,0.383663474,0.288078914,0.263686829,0.371215642
TCGA-XF-AAMQ-01,0.469380829,BLCA,0.744,0.36690388,0.256422544,0.283988911,0.266062226,0.269202785,0.184906427,0.25553694,-0.206423645,0.491012012,0.132627615,0.305996743,0.307675631,0.058814863,0.309665661,0.339725695,0.614538106,0.502011433,0.36251668,0.356563579,0.484186305
TCGA-FT-A3EE-01,0.121229719,BLCA,0.745,0.3278878,0.23161239,0.21792861,0.265499715,0.262972802,0.19015013,0.252333254,-0.218087097,0.482420013,0.122715372,0.281090361,0.280330047,-0.051454075,0.271584404,0.341585172,0.530686467,0.31641714,0.355987813,0.185011368,0.38002636
TCGA-ZF-AA4T-01,0.133394698,BLCA,0.677,0.327374454,0.219802547,0.148104875,0.236082873,0.218432196,0.143109112,0.221054559,-0.205597529,0.477310696,0.143498741,0.282924891,0.251395904,-0.14193295,0.243108869,0.317235174,0.534542971,0.204849847,0.226610529,0.256531376,0.3125475
TCGA-E7-A3X6-01,0.391871784,BLCA,0.774,0.368170006,0.241104458,0.224245792,0.25023004,0.25766873,0.159527985,0.242736695,-0.10449959,0.499263842,0.067276036,0.29512905,0.314918119,0.031267817,0.288682398,0.356379861,0.605520298,0.502731495,0.271794261,0.344916625,0.473855168
TCGA-GU-A762-01,0.616233713,BLCA,0.816,0.371881781,0.259509511,0.27114813,0.284328908,0.277606417,0.189328654,0.254411225,-0.088448029,0.479785949,0.138668844,0.333040052,0.32296425,0.057549556,0.300481123,0.366753787,0.651067245,0.583500215,0.34914482,0.394053888,0.591820292
TCGA-FD-A43S-01,0.508977761,BLCA,0.803,0.353747971,0.266477586,0.276631587,0.307700017,0.274613661,0.212656781,0.27228833,-0.215775408,0.480757716,0.150025065,0.315932628,0.303145866,0.057910385,0.295884057,0.393649478,0.627600561,0.517711065,0.624833643,0.308494449,0.495242549
TCGA-XF-A8HE-01,0.4702565,BLCA,0.823,0.363302846,0.263040757,0.231112625,0.301122764,0.274311768,0.190084833,0.251384615,-0.101954031,0.476325155,0.182880919,0.3130752,0.322459203,0.029718087,0.310612114,0.377312579,0.615482771,0.501037864,0.29974823,0.387421607,0.505259098
TCGA-BT-A42F-01,0.514354941,BLCA,0.781,0.371625738,0.263486772,0.295809768,0.294012537,0.281149219,0.192933769,0.239034101,-0.070196895,0.476002933,0.208083274,0.330188435,0.31869074,0.037859863,0.297533291,0.365949425,0.640432395,0.534781943,0.461845935,0.44480856,0.533425074
