Cell,Quiescence,Terminal_exhaustion,Progenitor_exhaustion,Senescence,Cytotoxicity,Regulating,Proliferation,Helper
eTreg,0.549040158,0.413088573,0.275293907,0.166571448,0.205547026,0.421162907,0.331952263,0.33399442
eTreg,0.543987233,0.431037933,0.317038079,0.168484272,0.2153761,0.467248266,0.403465871,0.430726112
eTreg,0.49199831,0.380798507,0.287843906,0.17026045,0.170121638,0.412759394,0.360117414,0.412158564
eTreg,0.579545172,0.403387486,0.243895996,0.180967225,0.160436287,0.474251042,0.350828731,0.420513033
eTreg,0.360290938,0.472956124,0.228704919,0.288800417,0.338480627,0.465657872,0.375946403,0.36054604
eTreg,0.527342667,0.408030424,0.374085712,0.157346307,0.189096402,0.395044275,0.375817842,0.448769523
eTreg,0.277628526,0.494654949,0.290988289,0.207951832,0.242522654,0.532161867,0.348477775,0.463505501
eTreg,0.500220796,0.413684548,0.288279741,0.153778585,0.191686932,0.411574541,0.295219957,0.384703446
eTreg,0.500174533,0.413395175,0.288198331,0.153705744,0.191758215,0.411508834,0.295495695,0.384722434
eTreg,0.570949044,0.400175052,0.355791545,0.128428519,0.141782004,0.389723276,0.31889429,0.339561883
eTreg,0.241735803,0.5235636,0.2944132,0.210801061,0.332913504,0.578765823,0.355704308,0.45028179
eTreg,0.449210795,0.488666811,0.278774712,0.098739827,0.285723524,0.515885333,0.286254671,0.391810047
eTreg,0.43748007,0.487040082,0.304862639,0.08678798,0.315756833,0.497203298,0.290690583,0.431007325
eTreg,0.391465664,0.488046868,0.397087193,0.132191909,0.301202824,0.508258489,0.302944599,0.420285171
nTreg,0.621415908,0.314115814,0.35469462,0.080172247,0.1674719,0.283218592,0.179700023,0.219447407
nTreg,0.56254549,0.334107557,0.347258047,0.202985879,0.291097472,0.274760318,0.184173237,0.224733359
nTreg,0.563904588,0.325332318,0.316142881,0.236675477,0.170468843,0.22386758,0.159664546,0.261586267
non-Tprolif,0.66037809,0.351335797,0.251340224,0.227070473,0.296091347,0.307528335,0.343932357,0.31211992
non-Tprolif,0.501521306,0.365762171,0.390044568,0.206493362,0.300818269,0.338456978,0.431942612,0.275392839
non-Tprolif,0.504201376,0.383687707,0.349613043,0.229393641,0.305710573,0.33881713,0.466211538,0.312709036
non-Tprolif,0.526447544,0.370027379,0.392928302,0.229660496,0.315847892,0.298231897,0.403489796,0.280495893
non-Tprolif,0.528821265,0.386145801,0.347143361,0.242747238,0.320690409,0.340931529,0.443182004,0.372681213
non-Tprolif,0.616329764,0.32077696,0.314696994,0.310769785,0.25632784,0.326725035,0.339963004,0.262303271
