"score_type","score","cell_type"
"Cytotoxicity",0.150416814839769,"CD4 Tcm"
"Cytotoxicity",0.124033004453426,"CD4 Tcm"
"Cytotoxicity",0.277788987306916,"CD4 Tcm"
"Cytotoxicity",0.141319502788345,"CD4 Tcm"
"Cytotoxicity",0.188647661589164,"CD4 Tcm"
"Cytotoxicity",0.126418456257338,"CD4 Tcm"
"Cytotoxicity",0.227457159415547,"CD4 Tcm"
"Cytotoxicity",0.153882873372918,"CD4 Tcm"
"Cytotoxicity",0.119657642143807,"CD4 Tcm"
"Cytotoxicity",0.161791579584625,"CD4 Tcm"
"Cytotoxicity",0.222252909434908,"CD4 Tcm"
"Cytotoxicity",0.191512986960353,"CD4 Tcm"
"Cytotoxicity",0.148054384768934,"CD4 Tcm"
"Cytotoxicity",0.149695428396504,"CD4 Tcm"
"Cytotoxicity",0.128952746717518,"CD4 Tcm"
"Cytotoxicity",0.113188569218856,"CD4 Tcm"
"Cytotoxicity",0.179319695202093,"CD4 Tcm"
"Cytotoxicity",0.193533262509134,"CD4 Tcm"
"Cytotoxicity",0.208316077063782,"CD4 Tcm"
"Cytotoxicity",0.114807685807897,"CD4 Tcm"
"Cytotoxicity",0.177169320949264,"CD4 Tcm"
"Cytotoxicity",0.162443068542468,"CD4 Tcm"
"Cytotoxicity",0.213509546905561,"CD4 Tcm"
"Cytotoxicity",0.134424773377775,"CD4 Tcm"
"Cytotoxicity",0.183757446171645,"CD4 Tcm"
"Cytotoxicity",0.179775002486621,"CD4 Tcm"
"Cytotoxicity",0.240374730545858,"CD4 Tcm"
"Cytotoxicity",0.102949290052265,"CD4 Tcm"
"Cytotoxicity",0.205037696384527,"CD4 Tcm"
"Cytotoxicity",0.155503606135137,"CD4 Tcm"
"Cytotoxicity",0.108336156120429,"CD4 Tcm"
"Cytotoxicity",0.170801919208727,"CD4 Tcm"
"Cytotoxicity",0.157641825303026,"CD4 Tcm"
"Cytotoxicity",0.123977079660239,"CD4 Tcm"
"Cytotoxicity",0.230697135511384,"CD4 Tcm"
"Cytotoxicity",0.116209533841791,"CD4 Tcm"
"Cytotoxicity",0.128413671916885,"CD4 Tcm"
"Cytotoxicity",0.176033509264185,"CD4 Tcm"
"Cytotoxicity",0.0995685223759072,"CD4 Tcm"
"Cytotoxicity",0.0958813633612293,"CD4 Tcm"
"Cytotoxicity",0.219671272101256,"CD4 Tcm"
"Cytotoxicity",0.146370843244501,"CD4 Tcm"
"Cytotoxicity",0.217730157873623,"CD4 Tcm"
